rank,canonical_name,count
273,Coated & Fried Chicken,1
274,Coated & Fried Mushroom,1
275,Chicken Curry,1
276,Mutton Curry,1
277,Buff Curry,1
278,Pork Curry,1
279,Veg Curry,1
280,Paneer Curry,1
281,Mushroom Curry,1
282,Tofu Curry,1
283,Kewra,1
284,Lentil Flour,1
285,Firm White Pumpkin,1
286,Kitchen Lime,1
287,Alum Powder,1
288,Spices,1
289,Khoa,1
290,Molu Leaf,1
291,Chenna Cheese,1
292,Coconut Flakes,1
293,Sweetened Milk,1
294,Reduced Milk,1
295,Elachi,1
296,Cashews And Raisins,1
297,Jaggery Syrup,1
298,Dharwadi Buffalo Milk,1
299,Loaf Bread,1
300,Mung Bean,1
301,Apricots,1
302,Vermicelli Pudding,1
303,Khus-Khus Seeds,1
304,Potol,1
305,Boiled Pork,1
306,Ginger And Garlic,1
307,Axone,1
308,Cauliflower,1
309,Bread Crumbs,1
310,Shimla Mirch,1
311,Ladies Finger,1
312,Chicken Thighs,1
313,Sweet,1
314,Tomato Paste,1
315,Dahi,1
316,Naan Bread,1
317,Tomato Sauce,1
318,Skinless Chicken Breasts,1
319,Heavy Cream,1
320,Whole Egg,1
321,Bhatura,1
322,Masoor Dal,1
323,Gravy,1
324,Rose Syrup,1
325,Falooda Sev,1
326,Mixed Nuts,1
327,Roasted Gram Flour,1
328,Makki Atta,1
329,Capsicum,1
330,Canned Coconut Milk,1
331,Honey,1
332,Whipping Cream,1
333,Tandoori Masala,1
334,Kala Chana,1
335,Mashed Potato,1
336,Boondi,1
337,Musk Melon Seeds,1
338,Poppy Seeds,1
339,Chopped Tomatoes,1
340,Tea Bags,1
341,Sattu,1
342,Atta,1
343,Filling,1
344,White Bread Slices,1
345,Baby Corn,1
346,Marinade,1
347,Green Bell Pepper,1
348,Kala Jeera,1
349,Raw Banana,1
350,Elephant Foot Yam,1
351,Tindora,1
352,Split Pigeon Peas,1
353,Blend Rice,1
354,Yellow Mustard,1
355,Tamarind Paste,1
356,Amaranth Leaves,1
357,Beef,1
358,Gooseberry,1
359,Pearl Onions,1
360,Green Moong Beans,1
361,Brown Rice Flour,1
362,Eggplant,1
363,Sevai,1
364,Parboiled Rice,1
365,Steamer,1
366,Whole Red Beans,1
367,Masala,1
368,Meat Curry Powder,1
369,Baingan,1
370,Sooji,1
371,Mawa,1
372,Bombay Duck,1
373,Bombay Rava,1
374,Citric Acid,1
375,Fry,1
376,Dried Mango,1
377,Nestle Cream,1
378,Red Food Coloring,1
379,Dal,1
380,Kokum,1
381,Pav,1
382,Bhuna Chana,1
383,Dates,1
384,Sauce,1
385,Toor Dal,1
386,Chia Seed,1
387,Litre Milk,1
388,Boiled Potatoes,1
389,Rapeseed Oil,1
390,Green Chili Paste,1
391,Dry Roasted,1
392,Cilantro,1
393,Pav Bhaji Masala,1
394,Dinner Rolls,1
395,Raw Peanuts,1
396,Sabudana,1
397,Khaman,1
398,Sunflower Oil,1
399,Rice Flakes,1
400,Sorghum Flour,1
401,Sweet Potato,1
402,Surti Papdi,1
403,Valor Papdi,1
404,Wine Vinegar,1
405,Green Garlic Chutney,1
406,Red Chillies,1
407,Peanut Oil,1
408,Methi Leaves,1
409,White Flour,1
410,Sticky Rice,1
411,Orange Rind,1
412,Raw Papaya,1
413,Panch Phoran Masala,1
414,Beetroot,1
415,Forbidden Black Rice,1
416,Garlic Powder,1
417,Mixed Vegetables,1
418,Yellow Moong Daal,1
419,Whole Red,1
420,Lobster,1
421,Lamb,1
422,Mint,1
423,Banana Flower,1
424,Fish Roe,1
425,Pumpkin Flowers,1
426,Tea Leaves,1
427,Red Pepper,1
428,Watercress,1
429,Glutinous Rice,1
430,Egg Yolks,1
431,Dry Dates,1
432,Dried Rose Petals,1
433,Arrowroot Powder,1
434,Ginger Powder,1
